Zone,ratio_import_conso,PIB_par_habitant,croissance_pop2015_2018,taux_proteine_animal,kilogramme_proteine_par_habitant_par_an,millions_de_kcal_par_habitant_par_an,cluster
Slovénie,0.45098039215686275,38688.8,0.3368623676612127,0.5317204859308484,35.15315,2.3210349999999997,3
Soudan,0.0,3958.5,6.935074876800152,0.2761173567315603,26.6231,1.88559,2
Sri Lanka,0.0,13078.1,1.5120825286165152,0.2720994475138121,23.783400000000015,1.9633349999999998,2
Suisse,0.3409090909090909,68627.8,2.68590194698569,0.6280167890870936,34.784500000000016,2.4663049999999997,5
Suriname,0.7333333333333333,16328.7,2.951388888888889,0.40718760303330026,22.1409,1.97465,2
Suède,0.42857142857142855,53205.1,2.0758122743682312,0.6399734647460199,38.5148,2.3235900000000003,3
Sénégal,0.0,3394.9,8.048442033556201,0.22006108342710184,22.70665,1.820255,1
Tadjikistan,0.4666666666666667,3379.7,7.109108889133061,0.23068412317905224,19.79395,1.53227,1
Tchad,0.125,1579.6,8.831890425119525,0.16785946649316846,22.4402,1.54979,1
Tchéquie,0.4801587301587302,40314.2,0.6094130883180199,0.6076604554865427,31.73310000000001,2.3367299999999998,3
Thaïlande,0.0019550342130987292,18463.1,1.02696318488218,0.4277812895069532,23.097200000000004,2.037795,5
Timor-Leste,1.8,3123.1,5.678233438485805,0.2936713226418349,21.166349999999994,1.66002,1
Togo,0.38596491228070173,1595.9,7.174546837368487,0.1499229847680985,21.326950000000004,1.77755,1
Trinité-et-Tobago,0.2696629213483146,26176.0,1.4388489208633095,0.5179343381236124,31.240350000000007,2.177955,5
Tunisie,0.009950248756218905,10755.6,3.329009943795936,0.2870472559446172,36.37955000000001,2.5199599999999998,4
Turquie,0.0034965034965034965,28167.4,4.6283701724556705,0.3568524708645765,40.40185000000001,2.71195,3
Ukraine,0.12213039485766758,12810.3,-1.5278217239976497,0.4427215922240224,31.5433,2.26008,3
Uruguay,0.17647058823529413,21561.1,1.072774717309365,0.5353172765169059,31.521400000000003,2.306435,5
Vanuatu,1.0,3143.6,7.508532423208193,0.4270523846755278,23.341750000000005,1.93523,2
Viet Nam,0.3906455862977602,8041.2,3.0027421346785843,0.4023536572993812,35.97805,2.1608,4
Zambie,0.1896551724137931,3479.5,8.48893499308437,0.22628099173553715,22.0825,1.46949,1
Zimbabwe,0.05714285714285714,2835.9,4.321628921670476,0.2624065261726715,16.107450000000004,1.3928399999999999,1
Égypte,0.026900584795321637,11763.2,6.076769893521905,0.2707970048210073,35.58384999999999,2.43455,4
Émirats arabes unis,1.004950495049505,67119.1,3.82099470459973,0.4581365782782418,40.1938,2.454625,3
Équateur,0.0,11375.3,5.104191055958792,0.4661813770094025,24.068099999999994,1.909315,2
États-Unis d'Amérique,0.006865111289890051,62682.8,1.900970968767579,0.6468568409931325,41.45670000000001,2.74042,3
Éthiopie,0.013333333333333334,2219.7,7.680546400058595,0.09889944218302436,24.210449999999994,1.6841099999999998,1
Îles Salomon,1.6666666666666667,2367.4,7.656967840735067,0.2892904197252023,19.39245,1.74689,1
