Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2765","Crustacés","2015","2015","g/personne/jour","0.28","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2765","Crustacés","2018","2018","g/personne/jour","0.41","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2766","Cephalopodes","2015","2015","g/personne/jour","0.23","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2766","Cephalopodes","2018","2018","g/personne/jour","0.3","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2767","Mollusques, Autres","2015","2015","g/personne/jour","0.02","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2767","Mollusques, Autres","2018","2018","g/personne/jour","0.01","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2769","Animaux Aquatiques Autre","2015","2015","g/personne/jour","0","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2769","Animaux Aquatiques Autre","2018","2018","g/personne/jour","0","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2775","Plantes Aquatiques","2015","2015","g/personne/jour","0","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2775","Plantes Aquatiques","2018","2018","g/personne/jour","0","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2731","Viande de Bovins","2015","2015","g/personne/jour","2.26","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2731","Viande de Bovins","2018","2018","g/personne/jour","1.95","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2732","Viande d'Ovins/Caprins","2015","2015","g/personne/jour","2.88","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2732","Viande d'Ovins/Caprins","2018","2018","g/personne/jour","2.87","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2733","Viande de porcins","2015","2015","g/personne/jour","0","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2733","Viande de porcins","2018","2018","g/personne/jour","0","Fc","Donnée calculée"
